time,x,y,z,Roll,Pitch,Yaw
0.039,0.058499999999999996,0.0,50.0,0.0,0.0,0.0
0.0392,0.0588,0.0,50.0,0.0,0.0,0.0
0.039400000000000004,0.05910000000000001,0.0,50.0,0.0,0.0,0.0
0.0396,0.05940000000000001,0.0,50.0,0.0,0.0,0.0
0.0398,0.0597,0.0,50.0,0.0,0.0,0.0
0.04,0.06,0.0,50.0,0.0,0.0,0.0
0.0402,0.0603,0.0,50.0,0.0,0.0,0.0
0.040400000000000005,0.06060000000000001,0.0,50.0,0.0,0.0,0.0
0.040600000000000004,0.06090000000000001,0.0,50.0,0.0,0.0,0.0
0.0408,0.061200000000000004,0.0,50.0,0.0,0.0,0.0
0.041,0.0615,0.0,50.0,0.0,0.0,0.0
0.0412,0.0618,0.0,50.0,0.0,0.0,0.0
0.0414,0.0621,0.0,50.0,0.0,0.0,0.0
0.041600000000000005,0.06240000000000001,0.0,50.0,0.0,0.0,0.0
0.041800000000000004,0.0627,0.0,50.0,0.0,0.0,0.0
0.042,0.063,0.0,50.0,0.0,0.0,0.0
0.0422,0.0633,0.0,50.0,0.0,0.0,0.0
0.0424,0.0636,0.0,50.0,0.0,0.0,0.0
0.0426,0.0639,0.0,50.0,0.0,0.0,0.0
0.042800000000000005,0.06420000000000001,0.0,50.0,0.0,0.0,0.0
0.043000000000000003,0.0645,0.0,50.0,0.0,0.0,0.0
0.0432,0.0648,0.0,50.0,0.0,0.0,0.0
0.0434,0.0651,0.0,50.0,0.0,0.0,0.0
0.0436,0.0654,0.0,50.0,0.0,0.0,0.0
0.0438,0.0657,0.0,50.0,0.0,0.0,0.0
0.044000000000000004,0.066,0.0,50.0,0.0,0.0,0.0
0.0442,0.0663,0.0,50.0,0.0,0.0,0.0
0.0444,0.0666,0.0,50.0,0.0,0.0,0.0
0.0446,0.0669,0.0,50.0,0.0,0.0,0.0
0.0448,0.0672,0.0,50.0,0.0,0.0,0.0
0.045000000000000005,0.0675,0.0,50.0,0.0,0.0,0.0
0.045200000000000004,0.0678,0.0,50.0,0.0,0.0,0.0
0.0454,0.06810000000000001,0.0,50.0,0.0,0.0,0.0
0.0456,0.0684,0.0,50.0,0.0,0.0,0.0
0.0458,0.0687,0.0,50.0,0.0,0.0,0.0
0.046,0.069,0.0,50.0,0.0,0.0,0.0
0.046200000000000005,0.0693,0.0,50.0,0.0,0.0,0.0
0.046400000000000004,0.06960000000000001,0.0,50.0,0.0,0.0,0.0
0.0466,0.0699,0.0,50.0,0.0,0.0,0.0
0.0468,0.0702,0.0,50.0,0.0,0.0,0.0
0.047,0.07050000000000001,0.0,50.0,0.0,0.0,0.0
0.0472,0.0708,0.0,50.0,0.0,0.0,0.0
0.047400000000000005,0.07110000000000001,0.0,50.0,0.0,0.0,0.0
0.0476,0.0714,0.0,50.0,0.0,0.0,0.0
0.0478,0.0717,0.0,50.0,0.0,0.0,0.0
0.048,0.07200000000000001,0.0,50.0,0.0,0.0,0.0
0.0482,0.0723,0.0,50.0,0.0,0.0,0.0
0.048400000000000006,0.07260000000000001,0.0,50.0,0.0,0.0,0.0
0.048600000000000004,0.0729,0.0,50.0,0.0,0.0,0.0
0.0488,0.0732,0.0,50.0,0.0,0.0,0.0
0.049,0.07350000000000001,0.0,50.0,0.0,0.0,0.0
0.0492,0.0738,0.0,50.0,0.0,0.0,0.0
0.0494,0.0741,0.0,50.0,0.0,0.0,0.0
0.049600000000000005,0.07440000000000001,0.0,50.0,0.0,0.0,0.0
0.049800000000000004,0.0747,0.0,50.0,0.0,0.0,0.0
0.05,0.07500000000000001,0.0,50.0,0.0,0.0,0.0
0.0502,0.0753,0.0,50.0,0.0,0.0,0.0
0.0504,0.0756,0.0,50.0,0.0,0.0,0.0
0.0506,0.0759,0.0,50.0,0.0,0.0,0.0
0.050800000000000005,0.0762,0.0,50.0,0.0,0.0,0.0
0.051000000000000004,0.07650000000000001,0.0,50.0,0.0,0.0,0.0
0.0512,0.07680000000000001,0.0,50.0,0.0,0.0,0.0
0.0514,0.0771,0.0,50.0,0.0,0.0,0.0
0.0516,0.0774,0.0,50.0,0.0,0.0,0.0
0.051800000000000006,0.0777,0.0,50.0,0.0,0.0,0.0
0.052000000000000005,0.07800000000000001,0.0,50.0,0.0,0.0,0.0
0.0522,0.07830000000000001,0.0,50.0,0.0,0.0,0.0
0.0524,0.0786,0.0,50.0,0.0,0.0,0.0
0.0526,0.0789,0.0,50.0,0.0,0.0,0.0
0.0528,0.07919999999999999,0.0,50.0,0.0,0.0,0.0
0.053000000000000005,0.07950000000000002,0.0,50.0,0.0,0.0,0.0
0.053200000000000004,0.07980000000000001,0.0,50.0,0.0,0.0,0.0
0.0534,0.0801,0.0,50.0,0.0,0.0,0.0
0.0536,0.0804,0.0,50.0,0.0,0.0,0.0
0.0538,0.0807,0.0,50.0,0.0,0.0,0.0
0.054,0.081,0.0,50.0,0.0,0.0,0.0
0.054200000000000005,0.08130000000000001,0.0,50.0,0.0,0.0,0.0
0.054400000000000004,0.0816,0.0,50.0,0.0,0.0,0.0
0.0546,0.0819,0.0,50.0,0.0,0.0,0.0
0.0548,0.0822,0.0,50.0,0.0,0.0,0.0
0.055,0.0825,0.0,50.0,0.0,0.0,0.0
0.055200000000000006,0.08280000000000001,0.0,50.0,0.0,0.0,0.0
0.055400000000000005,0.08310000000000001,0.0,50.0,0.0,0.0,0.0
0.055600000000000004,0.0834,0.0,50.0,0.0,0.0,0.0
0.0558,0.0837,0.0,50.0,0.0,0.0,0.0
0.056,0.084,0.0,50.0,0.0,0.0,0.0
0.0562,0.0843,0.0,50.0,0.0,0.0,0.0
0.056400000000000006,0.08460000000000001,0.0,50.0,0.0,0.0,0.0
0.056600000000000004,0.0849,0.0,50.0,0.0,0.0,0.0
0.0568,0.0852,0.0,50.0,0.0,0.0,0.0
0.057,0.0855,0.0,50.0,0.0,0.0,0.0
0.0572,0.0858,0.0,50.0,0.0,0.0,0.0
0.0574,0.0861,0.0,50.0,0.0,0.0,0.0
0.057600000000000005,0.0864,0.0,50.0,0.0,0.0,0.0
0.057800000000000004,0.0867,0.0,50.0,0.0,0.0,0.0
